County Name,%Covid Death Rate,Tiers,Population Density,Population,Persons 65 years and older,% Male,% Female,% Minority Population,Median Household Income,County Area
Banner,0.00,low,0.90,745.00,24.00,48.50,51.50,2.40,51750.00,746.11
Camas ID,0.00,low,1.00,117.00,24.40,51.10,48.90,5.60,39688.00,1079.00
Calhoun GA,0.24,low,25.80,14105.00,18.90,54.00,46.00,17.30,38568.00,574.00
Calhoun WV,0.25,low,27.30,7109.00,25.60,50.10,49.90,2.00,38382.00,281.00
Cache UT,0.31,low,96.70,128289.00,9.80,50.00,50.00,7.10,59038.00,1173.00
Albany WY,0.38,low,8.50,38880.00,12.20,51.80,48.20,9.70,49322.00,4273.84
Alleghany NC,0.45,low,47.50,11137.00,17.00,49.60,50.40,4.60,37830.00,235.06
Aleutians West Census Borough AK,0.47,low,1.30,5634.00,7.40,76.00,34.00,66.10,87466.00,4390.28
Bear Lake,0.48,low,6.10,6125.00,20.70,50.10,49.80,3.50,54167.00,974.79
Anchorage Municipality of AK,0.58,low,171.20,288000.00,11.70,50.90,49.10,36.20,84928.00,1704.68
Alfalfa OK,0.61,low,6.50,5702.00,20.30,59.70,40.30,12.60,61852.00,866.46
Caledonia VA,0.65,low,48.10,29993.00,22.10,49.90,50.10,3.90,505663.00,658.00
Benton OR,0.65,low,126.60,93053.00,16.80,50.10,49.90,20.20,62077.00,675.94
Calhoun AK,0.67,low,8.50,5189.00,0.67,50.50,49.50,24.40,46417.00,632.00
Bennington VT,0.73,low,373.10,14964.00,21.50,47.10,52.90,8.70,50892.00,42.25
Adair MO,0.77,low,45.10,25343.00,15.10,48.00,52.00,8.50,41929.00,567.32
Calumet WI,0.78,low,153.90,50089.00,15.70,50.40,49.60,5.30,75814.00,44.10
Camden NC,0.86,low,196.10,10867.00,16.70,48.60,51.40,29.40,64572.00,1.59
Cabo-Rojo Municipality Puerto Rico,0.89,low,4160.90,50917.00,25.40,47.30,52.70,69.60,20578.00,1774.40
Ada ID,0.90,low,372.80,481587.00,14.90,50.10,49.90,8.90,66293.00,1052.80
Campbell KT,0.90,low,597.00,92584.00,16.10,49.10,50.90,6.00,63050.00,159.00
Calhoun IO,0.91,low,17.00,9668.00,23.50,51.90,48.10,4.30,52323.00,572.00
Beaver - Utah,0.93,low,2.60,6710.00,14.10,50.80,49.20,16.20,55221.00,2589.88
Callaway MS,0.93,low,53.10,44743.00,16.70,51.20,48.80,8.30,56938.00,847.00
Calhoun TX,0.99,low,42.20,21290.00,18.70,48.70,51.30,10.70,58776.00,1033.00
Andrew MO,1.01,low,40.00,17712.00,19.40,49.50,50.50,3.70,58772.00,432.70
Androscoggin ME,1.04,low,230.20,108277.00,18.20,49.00,51.00,8.30,53509.00,467.93
Bastrop,1.05,low,83.50,88723.00,15.60,50.80,49.20,12.50,64597.00,888.15
Cameron Parish LA,1.07,low,5.30,6973.00,17.00,49.40,50.60,6.80,53423.00,1937.00
Anoka MN,1.08,low,782.10,356921.00,14.50,50.00,50.00,16.20,82175.00,423.10
Alachua FL,1.10,low,282.70,269403.00,14.60,48.20,51.80,30.10,49689.00,875.02
Berkeley WV,1.11,low,324.40,119171.00,15.00,49.70,50.30,16.40,62515.00,321.14
Camden GA ,1.12,low,82.40,54666.00,14.20,51.40,48.60,25.00,56951.00,782.00
Calhoun IL,1.12,low,20.00,4739.00,24.10,50.30,49.70,1.70,63009.00,284.00
Adams IA,1.15,low,101.40,35777.00,15.90,50.00,50.00,2.20,52504.00,339.03
Adams ID,1.16,low,2.90,4294.00,29.90,51.40,48.60,5.70,48856.00,1363.06
Caldwell NC,1.16,low,176.10,82178.00,20.40,49.50,50.50,8.50,44511.00,474.00
Barry - Michigan,1.17,low,107.00,61550.00,18.90,50.40,49.60,3.40,64490.00,553.09
Adams CO,1.17,low,378.20,517421.00,10.70,50.60,49.40,14.30,71202.00,1167.65
Alexandria City VA,1.17,low,9314.30,159428.00,11.30,48.20,51.80,37.80,100939.00,15.03
Beaufort - South Carolina,1.20,mid,281.50,192122.00,28.00,49.00,51.00,21.80,68377.00,576.28
Benton WA,1.23,mid,103.00,204390.00,15.40,50.10,49.90,30.60,69023.00,1700.38
Baca,1.23,mid,1.50,3581.00,24.40,50.20,49.80,6.40,35878.00,2554.97
Bannock,1.25,mid,74.50,87808.00,14.70,49.70,50.30,9.40,51734.00,1111.99
Amador CA,1.26,mid,64.10,39752.00,27.50,44.40,45.60,10.40,62772.00,594.58
Beaver - Oklahoma,1.26,mid,3.10,5311.00,19.80,50.50,49.50,30.50,52349.00,1814.67
Benewah ID,1.29,mid,12.00,9298.00,22.80,51.40,48.60,15.40,47556.00,776.62
Beaverhead,1.29,mid,1.70,9453.00,22.30,51.20,48.80,10.50,43201.00,5541.62
Cabarus NC,1.32,mid,492.10,178121.00,13.40,48.20,51.80,27.80,67328.00,364.00
Amherst VA,1.32,mid,68.30,31605.00,21.60,48.60,51.40,23.10,52888.00,479.93
Barton - Missouri,1.33,mid,21.00,11754.00,21.20,49.10,50.90,5.50,44125.00,591.92
Adair OK,1.34,mid,39.60,22194.00,15.80,50.00,50.00,57.90,34695.00,573.48
Beadle,1.35,mid,13.80,18453.00,17.80,50.60,49.40,15.80,52313.00,1258.00
Alger MI,1.35,mid,10.50,9108.00,26.30,55.30,44.70,15.30,45570.00,915.07
Alameda CA,1.35,mid,2043.60,1671329.00,14.30,49.30,50.70,50.70,99406.00,739.02
Benton AR,1.35,mid,1379.40,36820.00,15.00,47.50,52.50,17.00,59029.00,22.40
Calloway KT,1.36,mid,96.60,37190.00,17.50,48.60,51.40,7.90,42273.00,411.00
Benton IN,1.37,mid,21.80,8748.00,18.00,49.50,50.10,7.90,49488.00,406.42
Baldwin - Alabama,1.39,mid,114.60,223234.00,21.00,48.50,51.50,12.60,58320.00,1589.78
Barron ,1.40,mid,53.20,45244.00,22.50,50.00,50.00,4.70,52703.00,862.71
Bent CO,1.42,mid,4.30,5577.00,18.90,64.40,35.60,43.00,30900.00,1512.86
Allegan MI,1.44,mid,135.00,1180811.00,23.80,50.00,50.00,5.10,62965.00,825.23
Albany NY,1.44,mid,581.90,305506.00,17.40,48.40,51.60,24.20,66252.00,522.80
Bedford - Tennessee,1.44,mid,95.10,49713.00,15.20,49.30,50.70,23.90,50415.00,473.64
Barry - Missouri,1.46,mid,45.70,35789.00,21.00,50.30,49.70,6.60,44403.00,778.25
